TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;6,84;;-8,07;0,92;0,36;29,22;9,29;-10,61;9,22;14,66;5,37;0,53;0,86;37,18;-0,47;1,04;-11,36;-4,47;5,23;0,39;0,61;0,42;2,55;;5.779.741,05;7,46;-0,85;0,19;1.049.756.830,98
ABCB4;19,87;8,27;6,67;0,76;0,07;17,76;12,53;10,94;5,82;5,83;;;0,73;1,49;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;9.968.245,82;26,07;2,98;-0,29;4.871.118.022,87
ABEV3;13,60;5,84;14,86;2,15;1,32;51,24;24,38;16,14;9,84;8,63;-1,21;-0,26;2,40;45,00;-1,98;1,10;14,50;8,88;16,66;0,61;0,39;0,55;11,20;4,15;402.672.034,18;6,32;0,92;-33,30;214.673.519.856,72
AERI3;3,94;;-0,26;1,19;0,10;9,57;-48,87;-61,60;-0,33;-1,97;-1,63;5,85;0,16;-0,24;-0,19;0,51;-451,52;-39,45;-44,68;0,09;0,91;0,64;12,70;;2.337.041,09;3,33;-15,04;0,00;245.374.774,20
AESB3;8,12;0,92;-16,58;1,10;0,35;24,16;18,29;-10,85;9,83;22,96;13,13;1,47;1,80;-7,33;-0,41;0,77;-6,66;-2,10;3,88;0,32;0,68;0,19;;;5.598.202,09;7,36;-0,49;0,04;6.973.842.690,64
AGRO3;22,72;6,85;8,32;1,07;0,65;39,35;28,63;22,21;6,45;8,81;2,35;0,39;1,85;4,08;-0,93;2,09;12,87;7,78;9,60;0,60;0,40;0,35;13,78;9,64;3.342.817,55;21,23;2,73;1,29;2.333.994.682,12
ALOS3;19,28;9,38;15,01;0,74;0,38;73,76;53,04;25,49;7,22;4,92;-2,32;-0,24;3,83;5,23;-0,46;1,89;4,94;2,56;9,88;0,52;0,48;0,10;29,82;99,64;66.192.602,77;26,03;1,29;-0,19;10.511.258.558,24
ALPA4;7,18;1,48;45,55;1,22;0,72;43,15;1,25;2,63;95,99;91,67;-1,27;-0,02;1,20;2,33;-1,45;2,56;2,68;1,58;0,13;0,59;0,41;0,60;2,05;-17,00;14.184.820,86;5,91;0,16;-0,43;4.761.953.898,34
ALUP11;29,86;4,72;8,71;0,81;0,31;72,64;72,28;27,14;3,27;6,46;3,18;0,78;2,36;2,97;-0,39;2,04;9,26;3,54;11,50;0,38;0,62;0,13;-2,71;4,06;29.333.105,05;36,99;3,43;0,15;9.502.128.341,79
AMAR3;1,56;;-1,85;2,88;0,40;63,30;-13,66;-37,76;-5,11;-9,23;-4,10;2,31;0,70;-2,37;-0,56;0,63;-155,67;-21,57;-20,88;0,14;0,86;0,57;-9,85;;600.308,05;0,54;-0,84;0,07;806.125.987,51
AMBP3;120,97;;-70,22;7,39;1,38;19,56;18,28;-4,49;17,23;21,39;4,22;1,81;3,15;4,93;-2,40;2,91;-10,53;-1,96;9,39;0,19;0,81;0,44;67,64;;14.275.923,68;16,36;-1,72;-0,17;20.126.874.795,81
AMER3;5,91;;0,14;0,24;0,07;32,25;4,53;57,71;1,83;2,79;0,97;0,13;0,08;0,44;-0,11;1,62;166,62;47,41;-60,23;0,28;0,72;0,82;16,22;;42.366.705,23;24,82;41,35;0,00;1.179.438.909,33
AMOB3;0,26;;;;;;;;;;;;;;;;;;;;;;;;3.517.832,32;;;;0,00
ANIM3;2,40;19,72;11,34;0,35;0,10;61,86;21,57;2,24;1,18;6,12;4,95;1,46;0,25;0,86;-0,13;2,16;3,06;0,88;9,91;0,29;0,71;0,39;26,33;;21.107.328,55;6,88;0,21;-0,09;965.246.443,95
ARML3;3,73;8,50;7,61;0,99;0,28;40,47;29,62;9,64;2,48;5,99;3,51;1,40;0,73;1,79;-0,40;2,13;12,98;3,67;12,48;0,28;0,72;0,38;95,79;79,38;5.566.307,27;3,78;0,49;1,80;1.295.887.922,78
ASAI3;8,03;1,15;17,09;2,18;0,25;16,48;5,12;0,88;2,95;6,37;3,41;2,52;0,15;-4,44;-0,38;0,86;12,73;1,45;16,71;0,11;0,89;1,64;;;102.638.221,14;3,69;0,47;-0,77;10.912.618.642,95
AURA33;35,81;4,36;-52,18;5,63;1,16;42,59;34,86;-4,62;6,92;7,87;0,95;0,78;2,41;9,09;-1,82;1,55;-10,79;-2,23;16,16;0,21;0,79;0,48;29,10;;9.100.293,77;6,36;-0,69;0,27;7.771.257.673,50
AURE3;7,47;;31,31;0,54;0,15;17,73;16,03;3,11;6,08;21,59;15,49;1,38;0,97;1,97;-0,19;1,56;1,73;0,48;2,48;0,27;0,73;0,15;;;46.657.079,00;13,79;0,24;-0,17;7.877.834.805,00
AZEV3;0,81;;-3,14;1,70;0,63;6,77;-107,84;-81,56;-2,38;-2,94;-0,37;0,26;2,56;-3,05;-0,80;0,51;-54,09;-19,90;-85,49;0,37;0,63;0,24;54,36;;1.733.514,00;0,48;-0,26;-0,01;525.135.619,02
AZEV4;0,92;;-3,56;1,93;0,71;6,77;-107,84;-81,56;-2,69;-2,94;-0,37;0,26;2,91;-3,45;-0,90;0,51;-54,09;-19,90;-85,49;0,37;0,63;0,24;54,36;;6.754.856,77;0,48;-0,26;-0,01;525.135.619,02
